"PPID","CRT_sum","age","gender","education","party","party_choose","social_issues","econ_issues","X2016vote","Clinton_Trump","media_trust","God","random","CRT_familiarity","conserv_rep","internal_statementID","statement_type","prior","post","priorRT","postRT","signal","statementtext","mem","statementID","capped","prior_recode","Bayes_posterior","post_recode","difference","ratio","log_ratio","difference.absolute","log_ratio.absolute","signal_favors_REP","politically_concordant","memory_error","prior_extremity"
1,6,27,1,5,6,2,3,5,5,2,2,1,2,3,2.03682636355456,1,"FalseRep",9,88,4.535,6.716,"TRUE","CNNâ€™s ratings have decreased due to their poor coverage of President Donald Trump.",2,1,0,9,16.5137614678899,88,71.4862385321101,5.32888888888889,1.67314275282309,71.4862385321101,1.67314275282309,1,1,0,41
1,6,27,1,5,6,2,3,5,5,2,2,1,2,3,2.03682636355456,2,"FalseRep",74,91,9.032,4.286,"TRUE","Expansion of Medicaid through ""Obamacare"" in Ohio left nearly 60,000 disabled citizens stuck on waiting lists for months.",2,2,0,74,85.0574712643678,91,5.94252873563219,1.06986486486486,0.0675323459791728,5.94252873563219,0.0675323459791728,1,1,0,24
1,6,27,1,5,6,2,3,5,5,2,2,1,2,3,2.03682636355456,3,"FalseRep",94,14,4.155,2.979,"FALSE","Only 10 cents on every dollar from the Clinton Foundation goes to charitable causes.",1,3,0,94,88.6792452830189,14,74.6792452830189,6.33423180592992,1.84596854453077,74.6792452830189,1.84596854453077,0,0,0,44
1,6,27,1,5,6,2,3,5,5,2,2,1,2,3,2.03682636355456,4,"FalseRep",93,100,4.595,2.638,"TRUE","President Donald Trump signed more bills through the legislature in his first 178 days in office than any president in history.",2,4,0,93,96.3730569948187,99.5,3.12694300518135,1.03244623655914,0.03193097336814,3.12694300518135,0.03193097336814,1,1,0,43
1,6,27,1,5,6,2,3,5,5,2,2,1,2,3,2.03682636355456,1,"FalseDem",88,12,9.207,5.298,"FALSE","During a 2017 summer event highlighting problems with â€œObamacare,â€ù President Donald Trump ignored a disabled child who tried to shake his hand.",1,5,0,88,78.5714285714286,12,66.5714285714286,6.54761904761905,1.8791014793832,66.5714285714286,1.8791014793832,1,1,0,38
1,6,27,1,5,6,2,3,5,5,2,2,1,2,3,2.03682636355456,2,"FalseDem",89,8,2.823,3.188,"FALSE","Within two years of â€œObamacareâ€ù being signed into law, health care premiums were going up more slowly than at any time in the previous 50 years.",1,6,0,89,80.1801801801802,8,72.1801801801802,10.0225225225225,2.30483481272806,72.1801801801802,2.30483481272806,1,1,0,39
1,6,27,1,5,6,2,3,5,5,2,2,1,2,3,2.03682636355456,3,"FalseDem",12,0,5.187,3.553,"FALSE","Democrat Nancy Pelosi was right when she claimed in 2012 that under â€œObamacareâ€ù everybody in the US will have lower rates, better quality, and better access to health care.",1,7,0,12,6.38297872340425,0.5,5.88297872340425,12.7659574468085,2.54678205350609,5.88297872340425,2.54678205350609,1,1,0,38
1,6,27,1,5,6,2,3,5,5,2,2,1,2,3,2.03682636355456,4,"FalseDem",15,11,6.519,5.76,"FALSE","More jobs were created in the private sector during the first year of the Obama administration than during the previous eight years of his Republican predecessor George W. Bush.",1,8,0,15,8.10810810810811,11,-2.89189189189189,0.737100737100737,-0.305030710786394,2.89189189189189,0.305030710786394,1,1,0,35
1,6,27,1,5,6,2,3,5,5,2,2,1,2,3,2.03682636355456,1,"TrueRep",93,100,5.107,3.634,"TRUE","During the first six months of President Donald Trump's administration, average weekly earnings for all private sector workers went up.",2,9,0,93,96.3730569948187,99.5,3.12694300518135,1.03244623655914,0.03193097336814,3.12694300518135,0.03193097336814,1,1,0,43
1,6,27,1,5,6,2,3,5,5,2,2,1,2,3,2.03682636355456,2,"TrueRep",12,0,4.04,3.163,"FALSE","Under President Donald Trumpâ€™s administration, unemployment has fallen to a 17-year low.",1,10,0,12,6.38297872340425,0.5,5.88297872340425,12.7659574468085,2.54678205350609,5.88297872340425,2.54678205350609,0,0,0,38
1,6,27,1,5,6,2,3,5,5,2,2,1,2,3,2.03682636355456,3,"TrueRep",40,92,6.964,4.403,"TRUE","Under the Trump administrationâ€™s first six months in charge, over 1 million jobs were added to the economy.",2,11,0,40,57.1428571428571,92,34.8571428571429,1.61,0.476234178996372,34.8571428571429,0.476234178996372,1,1,0,10
1,6,27,1,5,6,2,3,5,5,2,2,1,2,3,2.03682636355456,4,"TrueRep",88,61,3.57,7.803,"TRUE","During President Donald Trumpâ€™s first quarter in office, American exports of coal were up by almost 60% on the previous year.",2,12,0,88,93.6170212765957,61,-32.6170212765957,0.651590909090909,-0.428338354022983,32.6170212765957,0.428338354022983,1,1,0,38
1,6,27,1,5,6,2,3,5,5,2,2,1,2,3,2.03682636355456,1,"TrueDem",94,100,1.729,3.87,"TRUE","During former President Barack Obamaâ€™s final 4 years in office, wages of the average American worker went up.",2,13,0,94,96.9072164948454,99.5,2.59278350515464,1.02675531914894,0.0264036544098347,2.59278350515464,0.0264036544098347,0,0,0,44
1,6,27,1,5,6,2,3,5,5,2,2,1,2,3,2.03682636355456,2,"TrueDem",17,15,8.127,8.685,"TRUE","For approximately six years following the signing of â€œObamacareâ€ù into law, American businesses created new jobs every single month - a new record at the time.",2,14,0,17,29.0598290598291,15,-14.0598290598291,0.516176470588235,-0.661306574704287,14.0598290598291,0.661306574704287,0,0,0,33
1,6,27,1,5,6,2,3,5,5,2,2,1,2,3,2.03682636355456,3,"TrueDem",85,77,2.854,7.069,"FALSE","After six years of the Obama administration, US job growth was at its fastest pace since before the millennium.",2,15,0,85,73.9130434782609,77,-3.08695652173913,0.95990965556183,-0.0409161077385261,3.08695652173913,0.0409161077385261,1,1,1,35
1,6,27,1,5,6,2,3,5,5,2,2,1,2,3,2.03682636355456,4,"TrueDem",22,9,6.787,2.71,"FALSE","House speaker Republican Paul Ryan was wrong when he claimed in 2016 that Medicare is going broke because of â€œObamacare.â€ù Medicare was in better shape because of Obamacare.",1,16,0,22,12.3595505617978,9,3.35955056179775,1.37328339575531,0.317204511718103,3.35955056179775,0.317204511718103,1,1,0,28
2,0,25,2,3,3,1,3,3,1,1,3,1,2,3,-0.591836181438892,1,"FalseRep",86,84,32.869,13.859,"FALSE","CNNâ€™s ratings have decreased due to their poor coverage of President Donald Trump.",1,1,0,86,75.4385964912281,84,-8.56140350877193,0.898078529657477,-0.10749776499621,8.56140350877193,0.10749776499621,0,1,0,36
2,0,25,2,3,3,1,3,3,1,1,3,1,2,3,-0.591836181438892,2,"FalseRep",80,64,14.354,0.941,"FALSE","Expansion of Medicaid through ""Obamacare"" in Ohio left nearly 60,000 disabled citizens stuck on waiting lists for months.",1,2,0,80,66.6666666666667,64,2.66666666666667,1.04166666666667,0.0408219945202552,2.66666666666667,0.0408219945202552,0,1,0,30
2,0,25,2,3,3,1,3,3,1,1,3,1,2,3,-0.591836181438892,3,"FalseRep",72,65,11.79,1.142,"FALSE","Only 10 cents on every dollar from the Clinton Foundation goes to charitable causes.",2,3,0,72,56.25,65,-8.75,0.865384615384615,-0.144581228811108,8.75,0.144581228811108,0,1,1,22
2,0,25,2,3,3,1,3,3,1,1,3,1,2,3,-0.591836181438892,4,"FalseRep",42,72,1.875,1.205,"TRUE","President Donald Trump signed more bills through the legislature in his first 178 days in office than any president in history.",2,4,0,42,59.1549295774648,72,12.8450704225352,1.21714285714286,0.196506191785911,12.8450704225352,0.196506191785911,1,0,0,8
2,0,25,2,3,3,1,3,3,1,1,3,1,2,3,-0.591836181438892,1,"FalseDem",83,69,1.476,5.81,"TRUE","During a 2017 summer event highlighting problems with â€œObamacare,â€ù President Donald Trump ignored a disabled child who tried to shake his hand.",1,5,0,83,90.7103825136612,69,-21.7103825136612,0.76066265060241,-0.273565316905954,21.7103825136612,0.273565316905954,0,1,1,33
2,0,25,2,3,3,1,3,3,1,1,3,1,2,3,-0.591836181438892,2,"FalseDem",95,78,3.852,0.95,"FALSE","Within two years of â€œObamacareâ€ù being signed into law, health care premiums were going up more slowly than at any time in the previous 50 years.",2,6,0,95,90.4761904761905,78,12.4761904761905,1.15995115995116,0.148377900741517,12.4761904761905,0.148377900741517,1,0,1,45
2,0,25,2,3,3,1,3,3,1,1,3,1,2,3,-0.591836181438892,3,"FalseDem",57,72,1.648,1.196,"FALSE","Democrat Nancy Pelosi was right when she claimed in 2012 that under â€œObamacareâ€ù everybody in the US will have lower rates, better quality, and better access to health care.",2,7,0,57,39.8601398601399,72,-32.1398601398601,0.553613053613053,-0.591289295453321,32.1398601398601,0.591289295453321,1,0,1,7
2,0,25,2,3,3,1,3,3,1,1,3,1,2,3,-0.591836181438892,4,"FalseDem",71,79,1.703,1.158,"FALSE","More jobs were created in the private sector during the first year of the Obama administration than during the previous eight years of his Republican predecessor George W. Bush.",1,8,0,71,55.0387596899225,79,-23.9612403100775,0.69669316063193,-0.361410193799287,23.9612403100775,0.361410193799287,1,0,0,21
2,0,25,2,3,3,1,3,3,1,1,3,1,2,3,-0.591836181438892,1,"TrueRep",67,66,1.621,1.271,"TRUE","During the first six months of President Donald Trump's administration, average weekly earnings for all private sector workers went up.",1,9,0,67,80.2395209580838,66,-14.2395209580838,0.822537313432836,-0.195361431495822,14.2395209580838,0.195361431495822,1,0,1,17
2,0,25,2,3,3,1,3,3,1,1,3,1,2,3,-0.591836181438892,2,"TrueRep",34,63,1.887,1.171,"TRUE","Under President Donald Trumpâ€™s administration, unemployment has fallen to a 17-year low.",2,10,0,34,50.7462686567164,63,12.2537313432836,1.24147058823529,0.216296635178246,12.2537313432836,0.216296635178246,1,0,0,16
2,0,25,2,3,3,1,3,3,1,1,3,1,2,3,-0.591836181438892,3,"TrueRep",67,64,1.665,0.98,"TRUE","Under the Trump administrationâ€™s first six months in charge, over 1 million jobs were added to the economy.",2,11,0,67,80.2395209580838,64,-16.2395209580838,0.797611940298507,-0.226133090162576,16.2395209580838,0.226133090162576,1,0,0,17
2,0,25,2,3,3,1,3,3,1,1,3,1,2,3,-0.591836181438892,4,"TrueRep",67,70,1.657,1.359,"TRUE","During President Donald Trumpâ€™s first quarter in office, American exports of coal were up by almost 60% on the previous year.",2,12,0,67,80.2395209580838,70,-10.2395209580838,0.872388059701493,-0.136520931472889,10.2395209580838,0.136520931472889,1,0,0,17
2,0,25,2,3,3,1,3,3,1,1,3,1,2,3,-0.591836181438892,1,"TrueDem",89,71,7.583,2.114,"TRUE","During former President Barack Obamaâ€™s final 4 years in office, wages of the average American worker went up.",2,13,0,89,94.1798941798942,71,-23.1798941798942,0.753876404494382,-0.282526844179219,23.1798941798942,0.282526844179219,0,1,0,39
2,0,25,2,3,3,1,3,3,1,1,3,1,2,3,-0.591836181438892,2,"TrueDem",80,75,7.541,2.077,"FALSE","For approximately six years following the signing of â€œObamacareâ€ù into law, American businesses created new jobs every single month - a new record at the time.",2,14,0,80,66.6666666666667,75,-8.33333333333333,0.888888888888889,-0.117783035656383,8.33333333333333,0.117783035656383,1,0,1,30
2,0,25,2,3,3,1,3,3,1,1,3,1,2,3,-0.591836181438892,3,"TrueDem",84,70,5.662,1.074,"FALSE","After six years of the Obama administration, US job growth was at its fastest pace since before the millennium.",1,15,0,84,72.4137931034483,70,2.41379310344827,1.03448275862069,0.0339015516756812,2.41379310344827,0.0339015516756812,1,0,0,34
2,0,25,2,3,3,1,3,3,1,1,3,1,2,3,-0.591836181438892,4,"TrueDem",42,73,1.58,1.243,"FALSE","House speaker Republican Paul Ryan was wrong when he claimed in 2016 that Medicare is going broke because of â€œObamacare.â€ù Medicare was in better shape because of Obamacare.",2,16,0,42,26.5822784810127,73,-46.4177215189873,0.364140801109762,-1.0102146699039,46.4177215189873,1.0102146699039,1,0,1,8
3,7,27,1,2,3,1,2,2,6,2,3,2,2,1,-1.44499018211566,1,"FalseRep",30,0,4.889,2.427,"FALSE","CNNâ€™s ratings have decreased due to their poor coverage of President Donald Trump.",1,1,0,30,17.6470588235294,0.5,17.1470588235294,35.2941176470588,3.56371631115993,17.1470588235294,3.56371631115993,0,1,0,20
3,7,27,1,2,3,1,2,2,6,2,3,2,2,1,-1.44499018211566,2,"FalseRep",25,0,7.521,2.689,"FALSE","Expansion of Medicaid through ""Obamacare"" in Ohio left nearly 60,000 disabled citizens stuck on waiting lists for months.",1,2,0,25,14.2857142857143,0.5,13.7857142857143,28.5714285714286,3.35240721749272,13.7857142857143,3.35240721749272,0,1,0,25
3,7,27,1,2,3,1,2,2,6,2,3,2,2,1,-1.44499018211566,3,"FalseRep",85,0,5.243,2.424,"FALSE","Only 10 cents on every dollar from the Clinton Foundation goes to charitable causes.",1,3,0,85,73.9130434782609,0.5,73.4130434782609,147.826086956522,4.9960364946751,73.4130434782609,4.9960364946751,0,1,0,35
3,7,27,1,2,3,1,2,2,6,2,3,2,2,1,-1.44499018211566,4,"FalseRep",100,0,3.947,2.612,"FALSE","President Donald Trump signed more bills through the legislature in his first 178 days in office than any president in history.",1,4,0,99.5,99.0049751243781,0.5,98.5049751243781,198.009950248756,5.28831728321345,98.5049751243781,5.28831728321345,0,1,0,50
